"product_name","product_category","unsold_items"
"FEA Merchandising Men's Deadmau5 Logo With Silver Foil Lightweight Tee","Tops & Tees",25
"Trendy Plaid & Houndstooth Check Soft Square Scarf - Different Colors Available By TrendsBlue","Accessories",25
"Men's Single Breasted Two Button Black Tuxedo","Suits & Sport Coats",25
"Levi's Men's Wool Melton Peacoat","Outerwear & Coats",25
"Playtex Women's 18 Hour Active Lifestyle","Intimates",25
"Billabong Men's Essential Thermal Shirt","Tops & Tees",25
"Nautica Men's Striped Crewneck Sweater","Sweaters",25
"ENDO Apparel Keep Calm And Carry One Men's T-Shirt","Tops & Tees",25
"Nike Golf 2012 Therma-FIT Sleeve","Active",25
"Indiana Jones Men's 555 Hat","Accessories",25
"Tommy Hilfiger Men's Boxed Sleep Gift Set","Sleep & Lounge",25
"Gold Toe Men's Fluffie Midcalf 3 Pack","Socks",25
"Joe's Jeans Men's Brixton Straight and Narrow Denim in Bradley","Jeans",25
"Fennco Ruffle Knit Infinity Loop Scarf - 3 Colors","Accessories",25
"French Connection Men's Long Sleeve Basic Henley Shirt","Tops & Tees",25
"Not Your Daughter's Jeans Women's Petite Janice Legging","Jeans",25
"Coolibar UPF 50+ Men's ZnO Long Sleeve T-shirt - Sun Protective","Active",25
"HUF The Plantlife Socks in Charcoal & Yellow","Socks",25
"Tommy Hilfiger Men's Poplin Plaid Sleep Pant","Sleep & Lounge",25
"KAMALIKULTURE Women's All In One Dress","Dresses",25
"Tommy Hilfiger Mens Classic Fit Short Sleeve T-Shirt","Tops & Tees",25
"Mountain Hardwear Men's Melbu Stripe Sweater","Sweaters",25
"Midnight by Carole Hochman Women's Satin Embrace Pajama","Sleep & Lounge",25
"Carhartt Men's Sandstone Detroit Jacket - Blanket Lined","Outerwear & Coats",25
"Boconi Collins Calf Billfold","Accessories",25
"K. Bell Socks Men's Gradiant Stripe","Socks",25
"LE SUIT Textured 2PC Jacket/Skirt Suit","Suits",25
"Dakota Dan Winter Trooper Trapper Faux Fur Hat","Accessories",25
"Quiksilver Womens Cruiser Short","Shorts",25
"Duofold Men's Midweight Long Sleeve Crew","Underwear",25
"Buffalo by David Bitton  Men's Six Dust Wash Jean","Jeans",25
"Harriton - Men's Short-Sleeve Oxford with Stain-Release","Tops & Tees",25
"BLVCK SCVLE The Syndicate Fleece Zip Hoodie in Black (Exclusive)","Fashion Hoodies & Sweatshirts",25
"Tallia Mens 2 Button Black White Check Lightweight Sport Coat Jacket","Suits & Sport Coats",25
"Volcom Men's Why Factor End on End Short Sleeve","Tops & Tees",25
"Wigwam F1073 Double Sole Crew","Socks",25
"Calvin Klein Men's Rayon from Bamboo Silk Dress Flatknit Socks","Socks",25
"Comfort Colors Pigment-Dyed Ladies Full-Zip Hooded Sweatshirt","Fashion Hoodies & Sweatshirts",25
"Shaper Corset Victorian Black Jacquard Corset Underbust Back Lacing Waist Training Cincher SC10006","Intimates",25
"Ray Ban RB3479 Folding Aviator Sunglasses - 001 Arista (G-15XLT Lens) - 58mm","Accessories",25
"Savane Men's Drop Needle Performance Dress Pant","Pants",25
"Three Seasons Maternity Women's Print Kimono Surplice Dress","Maternity",25
"Allegra K Ladies Stretch Winter Warm Skinny Tights Pants Black S","Leggings",25
"Toddland Men's Shipwreck Pant","Pants",25
"Katnap Pink Peace Fleece Pajama Pants for Women","Sleep & Lounge",25
"Hanes Comfort Soft Boxer Brief Camo Collection Camo Prints/Solids","Underwear",25
"Toddland Men's Santa Boxer Brief","Underwear",25
"7 For All Mankind Men's Slimmy Slim Straight Leg Jean in Chester Row","Jeans",25
"Diesel Men's Larkee Regular Fit Straight Leg Jean","Jeans",25
"Lucky Jeans Classic Fit Jeans","Jeans",25
"Dockers Men's Terry Twill Pant","Sleep & Lounge",25
"Boca Classics Cardigan Sweater","Sweaters",25
"American Essentials Men's Velour Full Zip Mock Neck Jacket","Sleep & Lounge",25
"Levi's Men's Leather Racer Jacket","Outerwear & Coats",25
"Premium Soft Brushed Fleece Big and Tall Robe","Sleep & Lounge",25
"Calvin Klein Men's Bold Trunk","Underwear",25
